"C1" "C2" "C3" "C4" "C5" "C6" "C7" "C8" "C9" "C10" "C11" "C12" "C13" "C14" "C15" "C16" "C17" "C18" "C19" "C20" "C21" "C22" "C23" "C24" "C25" "C26" "C27" "C28" "C29" "C30" "C31" "C32" "C33" "C34" "C35" "C36" "C37" "C38" "C39" "C40" "C41" "C42" "C43" "C44" "C45" "C46" "C47" "C48" "C49" "C50" "C51" "C52" "C53" "C54" "C55" "C56" "C57" "C58" "C59" "C60" "C61" "C62" "C63" "C64" "C65" "C66" "C67" "C68" "C69" "C70" "C71" "C72" "C73" "C74" "C75" "C76" "C77" "C78" "C79" "C80" "C81" "C82" "C83" "C84" "C85" "C86" "C87" "C88" "C89" "C90" "C91" "C92" "C93" "C94" "C95" "C96" "C97" "C98" "C99" "C100" "C101" "C102" "C103" "C104" "C105" "C106" "C107" "C108" "C109" "C110" "C111" "C112" "C113" "C114" "C115" "C116" "C117" "C118" "C119" "C120" "C121" "C122" "C123" "C124" "C125" "C126" "C127" "C128" "C129" "C130" "C131" "C132" "C133" "C134" "C135" "C136" "N1" "C137" "C138" "C139" "N2" "C140" "C141" "C142" "N3" "N4" "N5" "N6" "R1" "N7" "N8" "N9" "N10" "N11" "N12" "N13" "N14" "N15" "N16" "N17" "N18" "N19" "N20" "N21" "N22" "N23" "N24" "N25" "N26" "R2" "R3" "R4"
"Slc25a5" 8.76 1514.34 9.26 587.08 4182.12 11.31 9.8 1119.94 1230.21 337.6 432 1185.34 8.51 12.14 1915.66 36.8 2391.63 789.64 1865.09 94.7 9.02 13.27 3.08 8.71 13.62 66.59 794.3 113.74 32.12 3683.46 2167.44 2.11 2993.97 60.92 273.29 774.12 1210.24 13.28 8.9 11.16 5.31 1455.8 2077.26 7.94 7.32 772.79 14.16 1729.62 1488.69 1.63 4879.58 1917.46 9.66 1991.39 1.11 3.85 414.17 0 1292.29 17.92 4041.49 2.55 464.57 814.6 1358 583.83 1321.39 2.64 3.54 5.68 1.38 759.38 0 2.51 1233.79 2769.75 12.7 6.76 2.73 331.95 4.48 1723.45 1777.77 1461.1 1075.54 926.48 34.09 3031.61 0 969.87 605.89 26.66 1.11 2.96 237.74 4.01 3.8 9.26 2.18 2914.31 139.53 5.32 2186.48 366.61 4.19 0 556.94 84.95 1.42 703.14 23.62 59.27 2153.79 42.28 468.05 7.62 515.92 9.08 4136.91 2880.3 1400.82 2369.49 636.02 2144.53 224.88 1643.63 2475.19 1586.12 6765.99 2511.74 714.14 4.36 340.94 10.56 0 5.9 0 636.03 1497.09 1102.18 929.31 19.25 6533.68 12.57 2351.66 4.91 89.19 5221.17 899.53 9.29 1628.34 1056.91 1988.75 1192.81 2453.66 2406.9 1775.2 1010.16 12.68 2836.97 12.75 7.27 1214.13 0 7968.25 1333.38 878.47 674.29 0 291.63 1044.26 206.48
"Shfm1" 1639.55 0 25.36 1187.85 90.23 0 1745.06 674.78 155.83 0 0 182.66 2837.32 526.73 90.86 0 0 1283.47 351.33 2299.52 0 22.73 0 1153.8 2145.48 72.03 1898.25 0 1515.78 1805.8 0 0 0 2857.25 0 3397.04 27.05 0 1158.06 50.99 29.09 2631.16 719.78 0 0 1007.6 0 0 0 669.49 2988.53 0 0 0 1303.7 0 1352.32 529.55 451.38 0 1462.01 0 445.11 1237.67 1532.26 3415.43 0 0 0 1503.71 3745.52 832.33 0 3062.62 1173.6 142.93 2785 0 1393.51 13.38 0 0 1357.5 1549.04 3787.52 3423.67 0 22.94 3144.45 147.68 763.48 1461.25 0 2535.47 0 2602.33 1289.64 0 1104.54 0 1548.93 0 0 535.78 0 2465.34 257.37 211.62 0 3240.41 534.64 0 1660.15 0 1218.22 34.78 21.03 0 0 2152.23 1176.6 410.68 1909.62 1161.45 2307.07 1009.57 2086.97 1808.24 0 877.06 3528.77 4542.84 1089.95 0 2242.08 549.93 1837.23 468.8 707.32 1872.51 1591.54 0 0 0 2290.47 67.22 2947.15 3974.23 0 297.1 57.65 0 211.72 0 2300.8 0 1689.61 5107.13 10335.97 0 961.26 0 0 0 0 365.06 0 0 0 0 438.6 0
"Atp6v0c" 1660.87 904.95 0 1757.83 0 0 2461.62 1214.56 513.26 1623.26 550.75 875.03 4086.15 0 1319.87 4486.56 0 1658.79 456.73 852.61 0 40.3 312.92 0 941.6 816.58 24.45 1298.63 1833.81 751.09 1689.51 1180.12 0 1564.55 0 0 2109.87 0 54.02 1379.44 1303.56 670.69 353.58 621.82 485.21 0 587.23 0 0 464.51 1290.39 1309.62 295.57 1976.33 3015.02 0 505.85 868.02 0 815.98 1456.61 0 2455.57 561.07 634.95 1226.25 0 1436.64 2130.36 656.7 1693.25 1647.82 0 2356.93 839.57 1198.56 3374.68 2872.1 550.3 782.56 2939.11 715.21 0 65.41 0 1862.37 0 1299.46 0 2854.79 618.98 0 618.64 791.07 628.54 297.94 457.57 1718.14 1812.17 1211.04 0 597.37 643.74 4.52 0 390.4 0 1219.2 3.19 1696.23 124.71 761.39 588.6 0 1202.9 8.54 368.27 0 0 820.68 740.65 1375.02 268.02 0 105.54 0 2178.56 382.65 16.15 798.4 696.03 3573.25 2506.76 666.54 833.71 0 1091.92 4904.5 1200.58 1445.38 1659.51 0 1392.78 0 2392.66 0 0 0 4648.16 0 0 1555.35 0 531.49 0 867.8 0 2349.88 122.27 0 877.84 1279.54 2303.24 0 0 2096.27 1463.78 1369.71 0 4475.46 3842.43 817.17
"Mt2" 3891.18 0 1601.6 1196.23 198.78 1474.07 6991.92 351.65 279.71 912.01 259.77 159.92 0 488.57 158.86 689.23 198.65 2722.67 1284.19 3695.36 1003.65 2548.4 2937.16 1976.91 852.42 775.76 0 960.87 406.92 1668.35 2747.21 495.92 15.33 1320.16 869.54 564.36 701.82 535 253.62 599.06 1787 2601.34 2434.5 1109.47 12.27 1620.71 53.33 83.86 2370.28 1944.6 801.94 313.93 232.43 868.12 964.74 234.53 25.96 43.21 0 135.2 901.23 1455.47 1220.23 0 811.33 3322.79 160.17 1825.21 2027.66 75.32 1435.38 720.89 1912.86 395.88 1179.22 279.88 426.05 18.14 407.48 0 210.42 734.54 131.04 2061.07 2085.91 1177.66 3341.24 561.39 2916.63 1583.96 715.28 1132.62 3179.05 1241.22 1332.32 1327.77 3316.13 413.88 3499.7 0 238.94 1766.2 770.65 1344.21 2107.26 0 2519.77 0 3613.15 986.08 2321.12 1686.19 108.36 822.37 2136.98 1089.66 288.3 1279.08 1202.75 14.63 1158.76 3035.75 440.55 1191.82 0 1043.38 328.39 1295.06 0 1705.81 0 29.26 0 417.69 0 1575.69 762.53 0 0 14.78 0 494.93 1904.24 42.15 38.66 32.91 105.57 1490.05 974.44 0 56.44 0 38.85 3010.02 406.73 21.79 0 0 0 58.51 0 12.18 0 0 0 0 0 0 0 34.72 484.16 0
"Rpl13a" 1862.67 7.79 12.58 3.37 224.24 470.19 7.99 734.03 948.46 19.13 283.55 250.35 11.57 16.41 2098.28 2383.13 1530.22 1180.27 4.65 834.17 2023.84 615.86 1509.5 4312.89 2395.68 1097.49 1009.69 477.37 77.63 4.19 726.05 1686.13 21.75 12.74 1752.98 1525.4 748.89 863.09 3.02 663 544.1 4265.46 291.93 2190.16 198.99 6.35 748.17 1626.67 120.12 1853.64 2.2 688.78 702.97 19.39 511.47 1288.92 1071.97 183.9 1053.23 267.98 1913.31 6.94 101.59 333.8 1529.76 8.58 1704.6 702.54 867.81 2174.66 1181.02 1558.21 0 58.05 1983.18 1484.99 293.65 36.78 1610.2 1095.33 6.09 3.92 1167.65 106.42 82.22 530.49 1524.34 20.48 2692.52 1420.25 1354.62 30.21 2120.2 1640.85 317.49 3.64 1085.8 12.59 2841.07 179.56 2622.18 0 70.54 928.27 5.7 445.12 978.16 588 1351.23 1815.93 958.43 2103.7 438.22 281.42 771.44 1199.63 244.21 1194.58 2368.38 1623.52 1417.65 2435.19 2607.25 1682.99 2202.62 1425.75 850.6 127.99 6.52 784.47 1531.41 23.73 744.96 961.51 2385.88 462.26 0 205.25 0 1058.58 603.04 1273.74 1426 68.35 1645.89 13.34 856 6313.55 575.83 3673 995.64 1207.01 89.26 310.44 1814.21 821.43 1059.14 3.87 293.06 733.07 1716.77 1252.12 8.34 45.89 1475.94 3.02 139.77 361.08 517.09 1487.7 733.1 1123.25
"Rpl11" 0 7.29 489.84 1260.58 469.22 781.25 648.17 1131.9 0 23.86 1546.44 1543.71 14.44 0 1186.01 975.64 2091.26 1064.28 2053.09 65.71 53.44 0 439.42 1662.5 23.1 1926.3 930.69 622.35 690.13 1537.64 43.42 75.25 58.15 2861.84 1034.2 999.13 30.14 8.46 0 0 0 2663.59 1725.61 3749.48 9.31 0 772.14 3014.34 876.72 1117.72 8.22 238.19 726.56 1723.77 45.04 1423.55 1122.77 1016.24 681.79 0 387.88 0 66.13 1048.45 1672.53 16.06 20.25 490.74 2105.24 1405.93 112.42 1480.58 0 2818.3 871.82 1114.86 161.63 2711.93 1292.24 1013.6 0 14.67 21.3 3112.87 659.43 7.44 573.73 2155.26 61.47 1835.51 1813.91 226.15 1132.76 565.03 774.28 748.76 0 1711.45 2970.18 0 0 4.51 207.45 192.78 0 79.31 13.66 0 1627.48 442.4 1640.91 1435.56 301.46 258.19 460.02 12.92 203.76 23.11 316.86 854.91 611.83 2257.55 1394.11 2845.55 1100.17 812.47 1384.21 913.62 2026.81 1756.51 1394.09 1198.9 702.27 2019.64 1567.06 0 14.83 1321.31 11.42 1996.88 0 1142.87 692.48 12886.9 1701.49 74.9 1094.66 5665.57 946.14 961.64 0 1695.73 2466.26 60.1 47.48 743.83 220.2 1361.16 2355.06 1672.03 55.18 471.48 1248.2 0 1562.65 0 46.57 8.78 193.54 8.78 1344.8 740.1
"Rps15" 54.77 2753.22 0 1161.06 0 15.15 1598.11 1548.91 195.47 43.95 0 136.6 4281.55 986.35 852.6 1825.98 0 3073.57 128.2 968.41 24.61 31.11 1618.93 1864.72 0 575.03 0 0 33.46 1972.54 0 39.61 42.85 0 427.01 757.24 0 669.85 1376.19 0 855.76 1353.14 537.25 284.4 2606.94 1816.54 170.68 4760.98 1822.06 2275.09 15.15 0 350.84 367.67 0 18.21 54.43 0 185.3 797.85 1866.67 191.46 426.37 995.39 2802.83 0 335.79 0 132.58 851.47 1423.74 635.2 0 906.47 1366.49 407.48 0 3220.55 198.37 18.31 168.06 1702.06 1268.95 2853.5 323.93 1685 1351.8 0 226.47 872.67 3872.8 0 0 3094.88 89.14 0 1096.01 1041.25 1102.99 495.2 1502.82 847.79 34.74 481.14 7016.23 0 2452.72 325.74 1092.6 1450.12 2088.96 2298.71 933.96 79.63 1680.93 0 1698.15 85.13 17.34 889.67 1013.41 2065.28 2222.45 2995.31 20.37 1170.46 1070.94 263.82 1889.29 462.23 2897.31 1799.52 1566.98 1939.35 1654.84 1803.88 327.93 245.29 483.95 61.99 0 4571.49 1559.09 58.91 54.04 0 0 0 0 1597.21 3313.34 238.45 54.3 738.07 0 1309.31 243.38 1973.91 118.86 0 876.94 1583.75 0 210.91 0 1405 0 581.98 31 776.46 1888.83 2524.71
"Ndufb4" 2048.59 2698.48 0 397.08 0 1003.8 0 2132.92 0 0 0 371.6 0 810.89 151.87 0 1854.58 2753.04 0 1724.98 0 0 0 6167.87 0 175.57 0 945.19 0 15.44 4787.59 0 0 516.47 0 0 1542.84 299.68 534.84 969.42 2403.46 733.05 2201.06 0 0 0 0 0 5310.9 0 0 165.5 166.65 678.73 0 0 1551.2 0 88.02 0 0 0 2994.46 603.36 1737.86 0 79.75 2249.94 0 1744.18 0 46.82 0 0 602.24 661.95 1781.96 4769.97 0 2778.07 718.45 0 1426.1 0 0 409.94 681.04 0 1936.32 4064.33 154.01 0 1819.6 0 508.12 1688.54 1687.56 0 2750.57 1693.59 3926.11 0 1039.6 1273.31 0 1504.68 0 696.35 1253.16 230.55 1893.06 1023.88 0 0 2078.58 0 1138.16 1273.75 0 1792.4 323.91 3482.86 1637.17 3005.25 979.58 1271.43 0 2450.1 2884.54 0 281.5 3321.95 1935.63 1332.44 645.48 1821.43 934.59 3307.12 0 2738.49 2221.83 1800.03 2087.05 0 3580.86 0 4625.59 0 495.51 0 0 509.69 0 0 93.47 0 0 0 0 378.7 4430.53 0 327.65 0 72.1 0 0 0 0 518.62 2515.5 467.7
"A130077B15Rik" 395.85 322.99 526.84 624.72 549.16 956.82 22.79 846.57 686.35 946.78 1180.48 316.17 25.71 37.63 88.25 74.31 813.99 30.3 453.3 5111.9 445.13 1728.59 1058.34 1615.41 1293.49 532.36 229.8 877 929.91 224.16 1384.11 1196.12 814.58 680.27 1773.7 672.28 789.77 226.44 1057.07 2357.08 1066.76 420.77 537.23 736.89 2540.35 957.25 638.94 1684.01 2072.61 1023.8 932.43 82.47 43.74 708.8 311.28 204.5 482.27 620.35 275.87 1361.48 471.96 2437.09 3223.46 754.88 412.44 7.53 3430.3 608.14 1034.92 834.32 331.68 561.65 236.07 375.7 108.23 835.41 1799.87 69.79 399.54 38.87 1905.87 1731.67 143.81 488.23 1584.39 1089.9 423.34 2194.98 2983.27 376.84 749 1753.97 833.96 581.85 598.14 1660.46 182.41 1224.99 874.86 2061.95 211.5 694.97 1653.86 334.5 39.73 635.49 798.29 2454.36 816.26 1508.64 22.68 780.96 995.05 3208.1 50.67 2314.64 2917.85 1901.53 1251.13 1157.34 950.95 293.7 386.76 551.7 1.67 275.67 719.84 246.51 158.83 809.68 153.21 3328.51 640.7 1816.87 4.69 403.08 29.35 2556.03 945.43 660.09 1414.89 887.26 2232.31 160.86 569.16 10.77 17.48 1278.33 9.94 1156.4 2329.77 2209.73 2750.26 1130.35 525.84 3872.08 242.93 594.12 58.1 910.41 1841.79 164.27 266.17 7.96 54.74 3.37 3212.64 165.94 369.74 1.31 19.65 231.81
"Hint1" 1309.08 2115.49 2369.9 28.46 728.42 1522.71 2578.15 931.29 76.24 2478.47 85.59 1484.12 4049.69 1267.2 1828.96 784.29 21.27 1076.46 2327.83 1261.28 1840.18 1725.46 283.5 2169 0 2587.67 1662.13 0 861.2 0 318.68 582.61 1667.72 0 946.2 19.34 2438.83 1136.19 1187.85 1389.86 60.99 2127.45 1564.1 8.3 10.51 670.7 2010.89 23.95 1116.75 1197.83 0 0 517.67 71.7 1989.77 0 1331.33 0 1375.48 0 49.27 29.34 317.32 783.08 367.18 0 187.24 364.32 650.09 163.08 301.45 1422.59 1871.81 3117.25 1459.88 998.98 0 233.28 1125.55 3573.39 0 1556.52 192.43 116.6 2481.74 789.23 0 1519.65 3747.72 0 899.78 0 0 1480.06 770.99 7.69 5.69 0 1627.47 0 1245.17 601.12 276.8 1720.22 8.02 32.56 0 1286.76 2523.47 1866.16 873.22 1538.39 2862.13 0 1592.2 0 0 26.09 1531.16 1553.76 1782.09 0 2558.9 412.13 911.31 0 1093.97 1237.8 3859.76 427.44 1431.11 3559.46 1245.29 218.32 888.4 657.94 401.97 555.09 0 937.23 970.79 1069.14 0 0 1324.85 28.19 30.14 38.76 1118.9 0 1764.79 650.8 0 1289.24 26.8 1548.97 12.43 1896.47 0 0 635.2 2995.55 1749.82 0 110.27 1001.46 1955.81 891.74 0 109.06 3.61 433.27
"Rps20" 750.63 1472.62 0 1879.32 0 0 1726.41 1633.04 255.16 0 583.3 680.8 34.71 1089.45 0 769.49 1494.99 993.46 0 2475.55 0 0 1660.42 17.77 0 471.77 0 0 1484.8 5262.86 52.21 0 0 0 771.77 2114.19 2947.37 0 2177.46 0 1143.04 1628.08 1051.95 1308.19 1611.92 0 0 0 0 1415.13 0 33.69 0 65.45 1990.26 784.45 497.33 0 0 0 512.98 0 0 0 3323.52 0 0 48.49 3093.58 23.16 1773.99 57.18 52.28 1106.42 2795.14 0 0 1423.92 1445.06 0 2029.21 0 2288.24 17.74 6236.94 0 0 20.48 0 1295.02 129.32 0 0 0 620.61 1587.67 0 0 79.99 0 4795.25 0 226.74 2033.71 0 0 2232.94 47.25 817.47 4270.64 2023.12 4501.94 823.74 2690.28 2321.12 62.13 1427.69 0 2653.09 0 0 0 215.64 3989.71 1794.64 2730.09 998.54 0 293.59 211.71 1232.01 480.48 268.2 0 441.49 0 0 73.89 0 161.84 0 2394.8 0 0 2468.93 0 0 5778.26 416.08 0 2008.06 529.15 0 674.4 15297.68 0 503.01 348.19 0 444.75 26.02 0 3001.39 0 2788.78 0 22.39 232.13 870.05 0 1090.69 725.04
"Fau" 7.82 74.04 121.34 734.32 19.2 0 0 1933.48 860.32 1852.78 95.68 733.93 2430.75 2486.52 774.66 4.1 2599.59 635.59 2249.51 457.3 983.61 22.5 238.23 0 1587.23 682.09 0 588.17 0 96.46 5500.83 12.59 12.23 0 326.79 102.76 348 1744.36 906.98 1736.42 6.33 1298.95 1487.27 1564.1 2165.58 687.15 1390.57 11.15 184.27 0 21.62 14.74 919.9 4.77 1707.83 1487.21 368.16 1775.57 253.15 917.06 3.26 1339.99 362.99 1105.85 867.4 0 0 0 10.54 11.28 1148.45 1688.57 1604.12 2657.12 1060.78 664.46 877.18 63.07 1093.1 944.91 11.99 7.71 965.62 1588.42 3482.64 7.82 0 19.52 872.8 583.82 363.76 0 1207.55 929.17 884.17 0 1659.5 429.36 1584.06 0 775.96 969.48 622.58 683.02 11.21 2327.03 1089.77 0 2443.3 1434.55 1550.08 1185.79 674.61 226.75 2105.53 0 0 0 3402.92 1451.37 750.78 241.14 1249.01 1048.23 341.28 1884.69 715.49 1199.5 2357.83 1774.91 449.26 11.68 585.02 1310.15 75.11 153.94 34.74 179.91 314.01 635.66 0 2884.07 3029.76 0 30.85 9388.99 1628.43 3902.54 1588.33 406.13 876.69 537.77 727.7 680.45 3178.32 0 655.6 0 16.97 680.82 433.76 2205.28 3124.6 30.1 21.44 721.56 0 1001.71 3689.39 10.28 352.49 206.61
"Gm12070" 719.66 1049.6 1207.37 1433.38 1640.61 1411.06 760.76 766.2 1747.82 866.51 1318.2 761.86 3565.49 140.9 1941.01 1146.36 1341.34 1219.01 938.77 866.22 785.35 743.83 1902.82 141.84 55.17 1025.25 669.05 1615.21 522.57 3.84 24.78 1151.1 1775.36 811.66 1100.15 665.66 1727.83 2071.4 1387.88 405.87 643.02 884.04 509.41 773.89 655.63 603.93 1459.25 13.81 947.34 829.98 363.46 0 1550.54 1625.79 1194.75 419.5 1260.25 1510.71 749.18 24.41 1346.6 1346.38 933.72 1082.7 1431.86 1120.53 446.87 40.87 584.03 511.17 1203.04 673.28 163.48 0 1613.79 1595.19 722.19 2255.42 417.83 1883.65 8.86 3.39 338.65 1471.18 642.28 645.48 2.17 521.8 48.03 358.51 2268.08 1966.87 1457.22 586.66 672.77 1019.64 475.77 1436.66 618.72 1113.77 733.33 1243.38 288.09 454.49 414.33 2034.08 646.58 1146.96 483.1 967.14 569.52 1168.14 197.54 1457.63 1731.73 4.97 209.36 553.6 1582.04 1064.1 1277.99 136.71 353.12 428.43 678.46 1083.82 1667.12 893.55 852.61 501.2 612.21 0 1760.46 497.41 1124.2 732.02 3202.44 785.5 391.1 953.82 584.86 1049.08 1207.65 67.11 0 109.06 18.87 0 1388.2 0 720.93 713.91 774.81 998.19 2231 2179.94 1119.51 1601.6 965.43 631.08 668.23 2008.55 171.98 21.78 7.76 1836.68 147.43 440.61 7.23 1872.31 2050.27 1639.71
"Rps25" 2062.19 867.6 2715.32 954.6 5.33 547.05 241.14 473.34 933.09 30.37 9.65 604.86 18.37 1172.93 1175.07 1688.74 0 1102.23 3260.75 167.27 926.67 5.37 908.79 2661.34 0 703.72 10.77 599.72 670.32 4178.3 2569.96 2654.41 7.4 7.59 1679.36 1544.56 1272.31 774.93 3146.86 1349.79 336.88 2577.07 1732.24 1424.6 5.92 956.42 2201.3 13.5 658.05 1181.55 1522.64 0 399.51 1847.48 981.77 717.17 1560.6 20.86 384.08 36.27 586.23 132.28 441.87 672.33 443.47 0 128.89 132.62 566.79 1219.47 912.13 491.83 6.92 4.07 1605.95 529.28 144 2416.25 813.49 91.69 1944.89 1670.62 4.52 849.63 209.82 4.73 0 1208.9 0 837.77 703.16 0 398.08 819.83 506.41 641.09 343.33 829.32 2108.36 17.11 2038.17 502.4 36 882.52 2138.9 490.95 8.69 950.35 2554.65 2392.97 1553.02 1859.94 305.2 1204.88 897.42 0 536.92 1499.83 4314.47 702.69 883.39 0 1214.04 1789.69 1419.41 1080.45 440.43 408.55 15.54 972.09 1356.81 494.5 644.06 1251.1 554.98 1479.61 165.4 834.32 1075.79 335.51 683.97 581.83 837.81 20.35 665.89 2812.23 288.83 3451.61 570.59 2227.12 1076.48 1672.2 6.25 101.99 2930.61 1851.3 14.01 1161.07 246.36 9.42 722.93 918.01 1919.57 0 143.72 634.56 0 753.93 856.76 720.87 404.51 145.35
"Rplp1" 946.46 2663.06 757.61 1351.77 617.72 0 1136.15 243.84 290.94 0 711.29 1061.72 1161.06 0 888.59 889.28 0 1863.76 0 807.44 1163.99 0 0 0 0 1075.86 1228.61 1251.32 0 2615.68 72.76 1729.24 3663.61 39.96 956.05 1894.1 101 2125.4 1479.3 0 2081.7 1091.65 162.89 1872.39 0 0 931.5 0 0 0 0 0 1560.14 1185.69 1490.61 0 1716.22 3295.62 1310.91 0 0 0 221.61 0 1323.34 0 407.24 630.77 753.72 903.55 635.72 1354.76 3315.23 2805.45 1178.86 177.9 0 922.62 1711.2 782.56 1146.46 2260.79 23.8 0 0 0 1430.79 0 0 935.8 2637.85 75.78 0 504.94 450.46 273.72 1503.8 0 632.26 90.08 3746.39 15.12 631.97 437.64 0 966.48 2013.55 0 363.59 719.45 402.78 1882.19 45.92 0 935.05 1471.84 3403.35 0 1231.71 297.65 2739.46 0 2185.62 2474.26 203.79 837.73 1020.49 1472.87 2536.76 162.27 878.44 0 553.73 216 2043.56 100.66 0 1132.69 1186.6 263.14 900.41 2462.03 1948.11 0 2064.44 0 1878.87 1840.61 1792.28 158.49 1219.84 1257.96 0 201.4 1909.17 221.57 1808.14 1358.69 3027.05 2851.13 0 1456.03 697.13 0 20.46 359.72 1154.76 470.54 648.55 912.23 1295.22 2571.99
"Psmb2" 2874.52 576.24 119.26 609.41 2260 32.88 1151.61 1225.1 829.07 0 5.82 0 27.69 0 791.72 1266.74 1575.83 829.17 36.72 25.21 1532.61 236.79 0 5.67 1608.52 1858.46 3302.49 566.62 2347.52 4.51 24.99 1658.15 17.85 4.58 1265.66 2041.59 53.97 1534.71 1310.12 7.27 1202.33 2372.23 0 7.05 1382.36 9.12 15.8 0 1328.26 690.12 1690.95 1784.74 673.92 1155.66 1794.8 2412.32 1772.5 6.29 30.02 0 782.26 0 577.23 1090.37 1497.33 7012.97 0 1132.3 134.62 44.34 1744.23 789.25 2.09 4.9 2968.69 953.94 2480.55 0 778.35 1906.13 0 5.63 2106.91 1392.44 1071.08 756.11 1105.77 630.82 47.17 623.73 2429.29 17.35 1260.6 31.78 2005.59 5.22 1.93 6.02 2289.08 20.63 614.43 2132.8 7.24 944.92 3707.96 0 1791.9 0 20.19 1475.23 1853.24 1041.59 0 396.24 760.74 5648.05 17.98 189.04 9.73 8.52 1341.34 2130.24 1032.18 15.94 598.17 2141.02 1030.32 803.39 9.37 673.92 1334.35 0 1305.98 2182.07 93.09 3374.53 2362.09 1340.08 4.38 507.87 1010.33 6.26 757.71 12.27 11.26 0 30.73 13.17 407.87 0 1074.11 566.19 1590.91 23.06 2612.07 0 1115.24 111.12 1559.54 198.7 406.82 2397.85 2323.81 0 4.68 6.5 21.41 175.09 393.43 37.06 334.58 3102.54
"Uqcrq" 1723.16 1120.04 3038.52 635.33 886.82 0 980.03 855.71 243.09 0 229.24 67.95 2146.41 570.87 12.15 0 759.63 800.88 1578.45 110.4 0 0 1384.19 0 3579.79 179.79 0 0 45.77 0 492.44 0 58.62 2253.7 0 0 1823.31 21.31 1169.51 47.73 1293.19 1076.58 551.22 0 1384.28 0 51.89 0 0 0 1326.11 812.08 0 0 0 1021.4 1017.58 0 591.48 0 1319.56 0 833.24 853.6 439.04 6717.41 0 0 0 1428.8 2191.15 2190.17 0 0 1638.1 624.32 651.69 17.35 2231.56 0 0 0 0 0 0 674.64 0 0 154.91 1181.25 1995.99 0 5552.88 1966.1 0 0 1143.57 0 27.94 0 2436.57 45.48 0 548.5 4115.93 18.17 2013.19 148.55 1093.67 884.21 882.33 602.86 897.81 2925.49 817.18 0 2382.13 782.79 319.4 0 0 0 184.9 104.53 989.15 656.22 1255.76 2414.32 5962.37 765.46 3272.9 0 1197.16 0 0 1665.32 0 1755.2 0 0 1015.69 0 3296.2 0 0 10884.77 2889.64 0 4400.16 595.9 701.48 195.72 24.76 0 3469.61 0 0 1714.81 0 261.01 0 465.93 1205.76 0 2721.91 398.65 0 2233.64 1187.47 1394.13 998.15 1657.83
"Rps7" 4.46 1068.38 14.14 62.57 135.87 0 1964.32 373.88 63.73 7.17 18.21 68.82 8.67 2124.25 1117.66 0 2121.54 761.37 1520.39 585.41 16.05 1721.61 4.71 2629.25 3.47 1721.93 3.39 926.4 5.45 4.71 515.08 1171.85 3.49 14.32 481.9 1.71 1010.69 695.8 1363.05 43.44 340.64 207.15 1576.42 1818.77 416.36 7.14 6.18 6.37 2011.63 906.03 1039.48 1161.22 631.23 468.66 3351.39 145.46 1200.74 103.39 117.47 1067.22 398.93 1591.64 4.96 2368.55 2308.89 2372.43 6.08 41.04 3432.33 1283.9 438.85 1136.18 1050.63 1189.8 1485.8 281.64 29.12 4.13 753.84 2211.15 931.45 0 1331.68 2.22 1710.5 810.61 8.01 84.42 0 783.16 2107.3 3673.83 3.38 416.79 742.73 0 1288.5 509.21 2061.05 0 1279.34 951.14 39.64 1047.63 4.27 526.13 594.77 1327.64 2202.45 1716.55 483.33 2363.93 489.66 245.51 2549.92 7.76 774.16 6.94 388.21 2759.75 1938.12 2.29 2810.47 3371.07 1236.79 2492.72 1488.06 556.11 3160.88 3.97 1316.71 13.33 1270.05 119.39 2471.16 595.32 1514.44 1251.76 1471.48 968.05 823.01 19.61 906.21 47.87 8.81 884.71 1531.31 103.08 808.03 1581.12 1350.29 489.77 152.97 0 21.38 14.89 1071.19 0 9.69 906.42 19.49 1104.86 2252.02 0 344.6 2020.57 775.48 487.53 20.21 835.9 648.42 3940.42
"Ost4" 48.58 1633.54 19.91 882.99 0 0 0 2546.54 0 917.24 0 0 2829.36 2140.72 703.42 249.72 0 2235.18 1302.92 606.18 801.58 17.85 33.18 0 24.42 87.13 0 0 1849.99 1575.42 0 882.81 0 2171.72 521.39 733.82 939.01 310.7 352.64 3897.42 1263.39 4437.39 413.67 432.63 10.74 2556.82 914.13 44.84 0 832.6 1303.08 0 0 0 6.5 0 884.46 34.65 0 0 330.07 0 0 9.31 753.53 3506.34 0 3754.68 2356.11 0 1977.2 1757.37 1996.41 1685.16 582.17 146.93 745.98 2195.13 542.82 0 2315.88 0 1433.98 0 1094.18 0 0 1181.36 3053.42 3376.46 1000.49 0 2945.14 0 313.53 748.3 29.09 0 1077.9 0 1536.43 1086.5 119.61 1084.15 0 924.27 646.84 0 3012.16 1345.85 691.15 396.04 44.78 1938 872.98 27.31 0 0 1535.56 0 634.28 0 510.38 607.12 1858.28 752.75 194.52 1054.78 1829.34 1577.66 1052.4 0 205.44 735.66 1277.08 2139.75 31.36 641.22 0 0 899.12 0 1612.6 18436.95 2524.06 0 0 0 0 145.52 0 0 11.34 0 0 1386.08 784.48 367.58 0 0 653.79 1472.68 0 0 2218.15 0 2188.33 677.91 0 10.13 660.31 674.74
